image_url,file_name,prompt
https://cdn-images.farfetch-contents.com/29/36/41/32/29364132_58380993_1000.jpg,29364132_58380993_1000.jpg,"menswear, twill shirt jacket, zip-fastening chest pocket, concealed front button fastening, navy blue, two side patch pockets, buttoned cuffs"
https://cdn-images.farfetch-contents.com/22/45/34/93/22453493_52411147_1000.jpg,22453493_52411147_1000.jpg,"menswear, le t-shirt gros grain top, chalk white, logo patch at the chest, cotton, straight hem, jersey texture, short sleeves, crew neck"
https://cdn-images.farfetch-contents.com/23/97/42/91/23974291_54167921_1000.jpg,23974291_54167921_1000.jpg,"menswear, ami de coeur t-shirt, organic cotton, straight hem, short sleeves, signature ami de coeur monogram motif, embroidered logo to the rear, grey, crew neck"
https://cdn-images.farfetch-contents.com/28/33/66/03/28336603_57757896_1000.jpg,28336603_57757896_1000.jpg,"menswear, zip-up leather jacket, two front welt pockets, long sleeves, press-stud fastening collar, black, buttoned cuffs"
https://cdn-images.farfetch-contents.com/20/25/11/83/20251183_54167887_1000.jpg,20251183_54167887_1000.jpg,"menswear, intarsia-knit wool jumper, ribbed trim, intarsia-knit logo, straight hem, wool, long sleeves, black/ruby red, crew neck, knitted construction"
https://cdn-images.farfetch-contents.com/27/48/39/71/27483971_57262516_1000.jpg,27483971_57262516_1000.jpg,"menswear, jersey crew-neck t-shirt, light grey, logo print embellishment, drop shoulder, rubberised logo detail"
https://cdn-images.farfetch-contents.com/24/13/12/39/24131239_55589122_1000.jpg,24131239_55589122_1000.jpg,"menswear, monogram-jacquard polo shirt, organic cotton, front button placket, short sleeves, spread collar, striped edge, black/anthracite grey, monogram jacquard, appliqué logo"
https://cdn-images.farfetch-contents.com/24/13/10/58/24131058_57445558_1000.jpg,24131058_57445558_1000.jpg,"menswear, imprimé fleurs polo shirt, logo patch at the chest, short front button fastening, all-over floral print, ribbed cuffs, forest green"
https://cdn-images.farfetch-contents.com/23/77/68/76/23776876_53703983_1000.jpg,23776876_53703983_1000.jpg,"menswear, cotton wreath-print hoodie, cotton, straight hem, long sleeves, classic hood, all-over graphic print, front pouch pocket, black"
https://cdn-images.farfetch-contents.com/27/70/76/22/27707622_57485031_1000.jpg,27707622_57485031_1000.jpg,"menswear, logo t-shirt, straight hem, short sleeves, dark green, crew neck"
https://cdn-images.farfetch-contents.com/22/50/34/57/22503457_52494318_1000.jpg,22503457_52494318_1000.jpg,"menswear, le gros grain embroidered-logo t-shirt, cotton, straight hem, jersey texture, ribbed crew neck, tonal stitching, short sleeves, beige, embroidered grosgrain logo at the chest"
https://cdn-images.farfetch-contents.com/28/54/98/34/28549834_57880469_1000.jpg,28549834_57880469_1000.jpg,"menswear, jersey-texture t-shirt, straight hem, short sleeves, ecru, crew neck"
https://cdn-images.farfetch-contents.com/26/68/25/10/26682510_57104631_1000.jpg,26682510_57104631_1000.jpg,"menswear, compass-badge sweatshirt, long sleeves, black, crew neck"
https://cdn-images.farfetch-contents.com/23/48/43/13/23484313_53434427_1000.jpg,23484313_53434427_1000.jpg,"menswear, heart logo cotton t-shirt, cotton, white/red, straight hem, short sleeves, logo print at the chest, appliqué logo, crew neck"
https://cdn-images.farfetch-contents.com/25/50/33/20/25503320_55825291_1000.jpg,25503320_55825291_1000.jpg,"menswear, hendric jacket, twill weave, cotton, two side welt pockets, long sleeves, zip fastening, press-stud fastening cuffs, shearling collar, quilted lining, blue, two front flap pockets, goose down"
https://cdn-images.farfetch-contents.com/27/39/59/49/27395949_57617361_1000.jpg,27395949_57617361_1000.jpg,"menswear, polo bear-print t-shirt, short sleeves, navy blue, crew neck, logo print to the front"
https://cdn-images.farfetch-contents.com/28/57/11/58/28571158_57941895_1000.jpg,28571158_57941895_1000.jpg,"menswear, sticka t-shirt, short sleeves, logo print to the rear, black, crew neck"
https://cdn-images.farfetch-contents.com/21/81/99/29/21819929_52437890_1000.jpg,21819929_52437890_1000.jpg,"menswear, logo-print organic cotton t-shirt, round neck, organic cotton, straight hem, short sleeves, logo print at the chest, black"
https://cdn-images.farfetch-contents.com/25/11/02/10/25110210_55316159_1000.jpg,25110210_55316159_1000.jpg,"menswear, logo-embroidered t-shirt, round neck, cotton, lightweight jersey, short sleeves, straight hem, black, embroidered logo at the chest"
